conta,descricao,origem,akd_debito,akd_credito,akd_abs_saldo,ct2_debito,ct2_credito,ct2_abs_saldo,ct2_max,ct2_min,diff_abs_saldo,diff_ct2_debito,diff_ct2_credito,diff_ct2_max,diff_ct2_min,melhor_formula_ct2
1123010002,OPERAÇOES COM CARTÃO C/D,somente_ct2,0.00,0.00,0.00,4045496.68,4034304.22,11192.46,4045496.68,4034304.22,11192.46,4045496.68,4034304.22,4045496.68,4034304.22,ct2_abs_saldo
1123010004,CREDITOS GERAIS A RECEBER,somente_ct2,0.00,0.00,0.00,30057392.65,30055767.73,1624.92,30057392.65,30055767.73,1624.92,30057392.65,30055767.73,30057392.65,30055767.73,ct2_abs_saldo
1123010006,VALORES A RECUPERAR DE EMPREGADOS,somente_ct2,0.00,0.00,0.00,0.00,13594.61,13594.61,13594.61,0.00,13594.61,0.00,13594.61,13594.61,0.00,ct2_debito
1124030001,AD.DE SALARIOS DE EMPREGADOS,somente_ct2,0.00,0.00,0.00,6727192.00,6739403.37,12211.37,6739403.37,6727192.00,12211.37,6727192.00,6739403.37,6739403.37,6727192.00,ct2_abs_saldo
1124030002,AD.DE FERIAS,somente_ct2,0.00,0.00,0.00,1585083.24,2386169.30,801086.06,2386169.30,1585083.24,801086.06,1585083.24,2386169.30,2386169.30,1585083.24,ct2_abs_saldo
1124030003,AD.DE 13º SALARIO,somente_ct2,0.00,0.00,0.00,3989959.33,113687.18,3876272.15,3989959.33,113687.18,3876272.15,3989959.33,113687.18,3989959.33,113687.18,ct2_credito
1124030005,ADIANTAMENTOS PARA VIAGENS,ambos,4889571.89,2664661.06,2224910.83,2342139.05,1877755.70,464383.35,2342139.05,1877755.70,1760527.48,117228.22,347155.13,117228.22,347155.13,ct2_debito
1124030006,ADIANTAMENTOS FUNDO FIXO DE CAIXA,somente_ct2,0.00,0.00,0.00,325.00,325.00,0.00,325.00,325.00,0.00,325.00,325.00,325.00,325.00,ct2_abs_saldo
1124030007,AD. PENSÃO ALIMENTICIA S/ FERIAS,somente_ct2,0.00,0.00,0.00,24407.73,37921.22,13513.49,37921.22,24407.73,13513.49,24407.73,37921.22,37921.22,24407.73,ct2_abs_saldo
1124030008,AD. DE VALE TRANSPORTE,somente_ct2,0.00,0.00,0.00,15666.80,16642.80,976.00,16642.80,15666.80,976.00,15666.80,16642.80,16642.80,15666.80,ct2_abs_saldo
1124040002,AD.DE GRATIFICACAO ANUAL,somente_ct2,0.00,0.00,0.00,102912.49,0.00,102912.49,102912.49,0.00,102912.49,102912.49,0.00,102912.49,0.00,ct2_credito
1124050001,ADIANTAMENTO P/ TERCEIROS,somente_ct2,0.00,0.00,0.00,459519.18,350403.98,109115.20,459519.18,350403.98,109115.20,459519.18,350403.98,459519.18,350403.98,ct2_abs_saldo
1124050002,ADIANTAMENTOS EAS,somente_ct2,0.00,0.00,0.00,1714446.22,1778191.37,63745.15,1778191.37,1714446.22,63745.15,1714446.22,1778191.37,1778191.37,1714446.22,ct2_abs_saldo
1124050004,ADIANTAMENTO A FORNECEDORES,somente_ct2,0.00,0.00,0.00,1288.06,0.00,1288.06,1288.06,0.00,1288.06,1288.06,0.00,1288.06,0.00,ct2_credito
1125010001,ANTECIPACAO PIS/FGTS S/ 13º SALARIO,somente_ct2,0.00,0.00,0.00,330706.65,0.00,330706.65,330706.65,0.00,330706.65,330706.65,0.00,330706.65,0.00,ct2_credito
1125040001,TRIBUTOS CORPORATIVOS A RECUPERAR,somente_ct2,0.00,0.00,0.00,2.86,8.05,5.19,8.05,2.86,5.19,2.86,8.05,8.05,2.86,ct2_debito
1125040002,V.A.T A RECUPERAR,somente_ct2,0.00,0.00,0.00,62272.73,2571790.87,2509518.14,2571790.87,62272.73,2509518.14,62272.73,2571790.87,2571790.87,62272.73,ct2_debito
1141020002,DESPESAS A APROPRIAR EAS,somente_ct2,0.00,0.00,0.00,1439614.71,2336759.97,897145.26,2336759.97,1439614.71,897145.26,1439614.71,2336759.97,2336759.97,1439614.71,ct2_abs_saldo
