tipo_grupo;recno_ancora;pares_no_grupo;pares_selecionados;pares_bloqueados;score_maximo;assinatura;evidencia;akd_recnos;ct2_recnos
akd_1xN;2414213;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414213;2109933|2109934
akd_1xN;2414214;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414214;2109933|2109934
akd_1xN;2415757;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2415757;2110197|2110198
akd_1xN;2415758;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2415758;2110197|2110198
akd_1xN;2419178;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2419178;2110441|2110442
akd_1xN;2419179;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2419179;2110441|2110442
akd_1xN;2424549;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424549;2112461|2112462
akd_1xN;2424550;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424550;2112461|2112462
akd_1xN;2424553;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424553;2112463|2112464
akd_1xN;2424554;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424554;2112463|2112464
akd_1xN;2424569;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424569;2112421|2112422
akd_1xN;2424570;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424570;2112421|2112422
akd_1xN;2424617;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424617;2112445|2112446
akd_1xN;2424618;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424618;2112445|2112446
akd_1xN;2424625;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424625;2112449|2112450
akd_1xN;2424626;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424626;2112449|2112450
akd_1xN;2424641;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424641;2112457|2112458
akd_1xN;2424642;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424642;2112457|2112458
akd_1xN;2425689;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2425689;2112566|2112567
akd_1xN;2425690;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2425690;2112566|2112567
akd_1xN;2432800;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432800;2112793|2112794
akd_1xN;2432801;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432801;2112793|2112794
akd_1xN;2432808;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432808;2112797|2112798
akd_1xN;2432809;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432809;2112797|2112798
akd_1xN;2435964;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2435964;2127077|2127078
akd_1xN;2435965;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2435965;2127077|2127078
akd_1xN;2441644;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2441644;2126525|2126526
akd_1xN;2441645;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2441645;2126525|2126526
akd_1xN;2442999;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2442999;2127470|2127471
akd_1xN;2443000;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2443000;2127470|2127471
akd_1xN;2443003;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2443003;2127472|2127473
