key;akd_rows;ct2_rows;akd_total;ct2_total;status
0000322015;3;4;88303.47;117737.96;ambiguo
0000322016;3;4;247680.12;330240.16;ambiguo
0000322017;3;8;61445.64;80801.01;ambiguo
0000322018;3;8;56982.90;74932.52;ambiguo
0000322019;3;8;58814.76;77341.41;ambiguo
0000322020;3;8;89667.30;117912.50;ambiguo
0000322021;3;5;48450.00;64345.00;ambiguo
0000322022;3;5;513000.00;666900.00;ambiguo
0000322023;3;5;109030.11;144799.64;ambiguo
0000322024;3;5;78122.61;103752.30;ambiguo
0000322025;3;5;265951.17;353201.82;ambiguo
0000322026;3;4;21230.55;28307.40;ambiguo
0000322027;3;7;13320.00;17693.40;ambiguo
0000322028;6;13;58670.00;217939.65;ambiguo
0000322029;3;7;40425.00;53697.87;ambiguo
0000322031;3;7;4070.40;5406.85;ambiguo
0000322032;3;4;108604.89;144806.52;ambiguo
0000322033;7;6;2664.21;3275.48;ambiguo
0000322034;3;4;39576.00;52768.00;ambiguo
0000322035;3;4;108604.89;144806.52;ambiguo
0000322036;3;7;111728.67;148412.92;ambiguo
0000322037;3;4;108604.89;144806.52;ambiguo
0000322038;3;4;104183.82;138911.76;ambiguo
0000322041;3;4;22877.04;30502.72;ambiguo
0000322042;3;4;30000.00;40000.00;ambiguo
0000322043;3;4;108604.89;144806.52;ambiguo
0000322044;3;4;1446.30;1928.40;ambiguo
0000322046;3;5;49843.02;66195.02;ambiguo
0000322047;3;4;108604.89;144806.52;ambiguo
0000322048;3;5;21945.00;29144.50;ambiguo
0000322049;3;4;765.00;1020.00;ambiguo
0000322050;3;5;356962.50;474071.24;ambiguo
0000322051;3;4;108604.89;144806.52;ambiguo
0000322052;3;5;338081.55;448996.02;ambiguo
0000322053;3;4;108604.89;144806.52;ambiguo
0000322054;3;5;141645.00;188114.50;ambiguo
0000322055;3;4;108604.89;144806.52;ambiguo
0000322056;3;5;103968.78;138161.06;ambiguo
0000322057;3;5;27471.87;36484.58;ambiguo
0000322058;3;4;108604.89;144806.52;ambiguo
0000322059;3;4;839232.99;1118977.32;ambiguo
0000322060;3;4;108604.89;144806.52;ambiguo
0000322061;3;8;309980.79;407624.74;ambiguo
0000322062;3;4;108604.89;144806.52;ambiguo
0000322063;3;8;109298.64;143727.71;ambiguo
0000322064;3;4;108604.89;144806.52;ambiguo
0000322065;3;5;330267.18;429347.34;ambiguo
0000322067;3;4;108604.89;144806.52;ambiguo
0000322068;3;4;199956.42;266608.56;ambiguo
0000322069;3;4;108604.89;144806.52;ambiguo
0000322070;3;4;88419.84;117893.12;ambiguo
0000322071;3;7;120000.00;159400.00;ambiguo
0000322072;3;4;108604.89;144806.52;ambiguo
0000322073;10;18;21163.64;74137.92;ambiguo
0000322074;3;7;15120.00;20084.40;ambiguo
0000322075;3;7;235904.04;313359.20;ambiguo
0000322076;3;7;225000.00;298875.00;ambiguo
0000322077;1;4;1025.00;4100.00;ambiguo
0000322078;3;4;270000.00;360000.00;ambiguo
0000322079;3;5;679487.31;883333.50;ambiguo
0000322080;3;4;67505.40;90007.20;ambiguo
0000322081;1;4;134.00;536.00;ambiguo
0000322082;3;5;10968.45;14326.26;ambiguo
0000322083;3;8;97081.08;127661.61;ambiguo
0000322084;3;8;185144.70;243465.28;ambiguo
0000322085;4;4;2799463.77;3612211.32;ambiguo
0000322087;3;4;105585.12;140780.16;ambiguo
0000322088;3;4;121017.72;161356.96;ambiguo
0000322089;3;4;20760.00;27680.00;ambiguo
0000322090;3;7;49977.21;66386.39;ambiguo
0000322092;3;4;5085.00;6780.00;ambiguo
0000322093;3;5;50360.19;66881.86;ambiguo
0000322094;3;5;1308066.06;1737203.52;ambiguo
0000322095;3;5;28500.00;37850.00;ambiguo
0000322096;4;11;45635.85;88982.03;ambiguo
0000322097;3;8;10257.75;13488.93;ambiguo
0000322098;3;8;49976.79;65719.48;ambiguo
0000322099;3;4;7680.00;10240.00;ambiguo
0000322100;3;8;3377.19;4373.45;ambiguo
0000322101;3;8;178345.08;234523.78;ambiguo
0000322103;3;8;107090.73;140824.32;ambiguo
0000322107;3;8;933.54;1227.61;ambiguo
0000322108;3;8;6438.33;8466.41;ambiguo
0000322109;3;4;264.09;352.12;ambiguo
0000322110;3;8;4827.81;6348.57;ambiguo
0000322111;3;8;27585.36;36274.75;ambiguo
0000322112;3;8;99584.73;130953.93;ambiguo
0000322113;3;8;111376.77;146460.47;ambiguo
0000322115;3;8;23949.24;31493.26;ambiguo
0000322116;3;8;118811.82;156237.54;ambiguo
0000322117;3;8;5022.30;6604.33;ambiguo
0000322118;3;9;750000.00;1975000.00;ambiguo
0000322119;1;2;6336.52;12673.04;ambiguo
0000322120;3;7;24554.88;32617.07;ambiguo
0000322121;3;7;74925.00;99525.37;ambiguo
0000322122;3;7;17280.00;22953.61;ambiguo
0000322123;10;7;947872.88;1165426.88;ambiguo
0000322126;7;6;282704.87;339062.56;ambiguo
0000322127;3;4;264.09;352.12;ambiguo
0000322128;8;17;386259.56;1158067.14;ambiguo
0000322129;3;4;210000.00;280000.00;ambiguo
0000322130;3;8;90492.12;118997.14;ambiguo
0000322131;3;4;106188.00;141584.00;ambiguo
0000322132;3;4;159282.03;212376.04;ambiguo
0000322133;3;7;12000.00;15940.00;ambiguo
0000322134;6;6;1694145.57;2258680.76;ambiguo
0000322135;3;4;572810.28;763747.04;ambiguo
0000322137;3;5;132822.51;173457.34;ambiguo
0000322138;3;4;81259.50;108346.00;ambiguo
0000322139;3;4;9900.00;13200.00;ambiguo
0000322140;3;4;22500.00;30000.00;ambiguo
0000322141;5;11;14643.11;34695.20;ambiguo
0000322142;4;9;8304.17;16490.29;ambiguo
0000322143;3;7;6249.12;8300.92;ambiguo
0000322144;4;9;11526.15;29329.88;ambiguo
0000322145;4;9;35308.80;69732.80;ambiguo
0000322146;3;7;6249.12;8300.92;ambiguo
0000322147;3;7;3683.07;4892.35;ambiguo
0000322148;3;5;55224.00;71791.20;ambiguo
0000322149;1;4;155.97;623.88;ambiguo
0000322150;7;6;271747.66;334042.76;ambiguo
0000322151;3;4;609829.05;813105.40;ambiguo
0000322152;3;7;26350.62;35002.41;ambiguo
0000322153;3;7;55750.47;74055.22;ambiguo
0000322155;3;4;18900.00;25200.00;ambiguo
0000322156;3;8;67459.65;88709.45;ambiguo
0000322157;3;5;35549.64;46925.52;ambiguo
0000322158;3;4;25226.91;33635.88;ambiguo
0000322159;3;4;46914.27;62552.36;ambiguo
0000322160;3;8;67666.95;88982.05;ambiguo
0000322162;3;8;70317.36;92467.33;ambiguo
0000322163;3;4;1590.00;2120.00;ambiguo
0000322164;1;4;1579.42;6317.68;ambiguo
0000322165;3;8;41110.74;54060.64;ambiguo
0000322166;4;4;4246930.84;5479910.76;ambiguo
0000322167;3;7;46256.13;61443.56;ambiguo
0000322168;3;7;554516.55;736582.82;ambiguo
0000322170;3;7;12933.00;17179.33;ambiguo
0000322172;3;7;38624.97;51306.84;ambiguo
0000322173;3;8;261109.68;343359.24;ambiguo
0000322174;3;8;90323.49;118775.39;ambiguo
0000322175;3;8;53531.28;67270.99;ambiguo
0000322176;3;8;27951.48;35125.70;ambiguo
0000322177;3;8;26484.00;33281.57;ambiguo
0000322178;3;8;25680.54;32271.88;ambiguo
0000322179;3;8;25214.13;31685.75;ambiguo
0000322180;3;9;1602351.45;1960209.94;ambiguo
0000322181;3;9;1912124.13;2339165.17;ambiguo
0000322182;3;8;194512.80;252218.26;ambiguo
0000322183;3;4;1230000.00;1640000.00;ambiguo
0000322184;3;8;94710.00;124543.65;ambiguo
0000322185;3;7;162540.12;215907.46;ambiguo
0000322186;3;7;107068.23;142222.30;ambiguo
0000322187;3;7;65016.06;86363.01;ambiguo
0000322188;3;7;42827.40;56889.06;ambiguo
0000322189;3;4;163.38;217.84;ambiguo
0000322190;3;11;338463.00;438873.69;ambiguo
0000322191;1;4;1016.00;4064.00;ambiguo
0000322192;1;4;719.00;2876.00;ambiguo
0000322193;7;6;33866.48;40617.82;ambiguo
0000322194;3;7;19317.60;25660.21;ambiguo
0000322195;4;4;927118.40;1196281.80;ambiguo
0000322196;4;6;7050.51;26257.08;ambiguo
0000322197;3;4;2433.69;3244.92;ambiguo
0000322198;1;4;5500.00;22000.00;ambiguo
0000322199;3;4;58172.82;77563.76;ambiguo
0000322200;6;5;2972082.36;3962506.48;ambiguo
0000322201;3;5;895.50;1182.06;ambiguo
0000322202;3;4;84000.00;112000.00;ambiguo
0000322203;3;4;79366.38;105821.84;ambiguo
0000322204;3;4;79366.38;105821.84;ambiguo
0000322205;3;4;79366.38;105821.84;ambiguo
0000322206;3;4;79366.38;105821.84;ambiguo
0000322207;3;4;79366.38;105821.84;ambiguo
0000322208;3;4;79366.38;105821.84;ambiguo
0000322209;3;4;79366.38;105821.84;ambiguo
0000322210;3;4;79366.38;105821.84;ambiguo
0000322211;3;4;79366.38;105821.84;ambiguo
0000322212;3;4;79366.38;105821.84;ambiguo
0000322213;3;4;79366.38;105821.84;ambiguo
0000322214;3;4;79366.38;105821.84;ambiguo
