"CT5_LANPAD","CT5_SEQUEN","CT5_ORIGEM","CT5_DESC","CT5_XDOC"
"563","001","""LP: 563-001""                                                                                       ",MOVIMENTO BANCARIO - INCLUSAO DE MOVIMENTO A RECEBER (FISCAL)                                       ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"565","001","""LP: 565-001""                                                                                       ",MOVIMENTO BANCARIO - EXCLUSAO DE MOVIMENTO A RECEBER (FISCAL)                                       ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"572","001","""LP: 572-001""                                                                                       ",CAIXINHA - ADIANTAMENTO                                                                             ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"572","002","""LP: 572-002""                                                                                       ",CAIXINHA - DESPESA PRESTAÇÃO DE CONTAS                                                              ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"572","004","""LP: 572-004""                                                                                       ",CAIXINHA - CANCELAMENTO DESPESA AVULSA                                                              ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"572","005","""LP: 572-005""                                                                                       ",CAIXINHA - DESPESAS AVULSAS                                                                         ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"572","006","""LP: 572-006""                                                                                       ",CAIXINHA - ESTORNO                                                                                  ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"573","001","""LP: 573-001""                                                                                       ",CAIXINHA - REPOSIÇÃO                                                                                ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"573","002","""LP: 573-002""                                                                                       ",CAIXINHA - ESTORNO REPOSIÇÃO                                                                        ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
"579","001","""LP: 579-001""                                                                                       ",CAIXINHA - DEVOLUÇÃO ADIANTAMENTO                                                                   ,"""SEU""+CVALTOCHAR(SEU->(RECNO()))                                                                    "
