reason_signature;candidatos;selecionados;taxa_selecao
cc|classe_valor|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;38;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|tokens|valor;38;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;37;26;70.27
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;37;0;0.0
cc|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;36;0;0.0
cc|competencia|proc_hist_competencia|proc_hist_data_exata|proc_hist_data_valor_exato|texto|valor;36;0;0.0
cc|doc_hist_1|texto|tokens|valor;34;0;0.0
chave_estruturada|doc_extra|tokens|valor;33;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|valor;31;0;0.0
akd_xdoc_ct2_recno|competencia|doc_hist_1|ent05_conta|texto|tokens|valor;30;30;100.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|insight_classe_valor_competencia|texto|tokens|valor;28;28;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_1|insight_classe_valor_competencia|texto|tokens|valor;28;0;0.0
cc|competencia|doc_hist_2|tokens|valor;27;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_2|insight_classe_valor_competencia|texto|tokens|valor;26;3;11.54
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|texto|tokens|valor;24;0;0.0
cc|competencia|competencia_conta_cc|ent05_conta|texto|valor;22;0;0.0
