CT1_CONTA,CT1_DESC01
1161020001,INSS 1/3 FERIAS EMPREGADOS
1161020002,INSS 1/3 FERIAS EMPREGADOR SUSPENSO
1171010001,BB-C/C: 431611-8 - FAO DISPONIBILIDAD
1171010002,BB-F/A: 431611-8A - FAO INVESTIMENTOS
1171010003,FUNDO APEXPREV TSP NÃO INTEGRALIZADO
1211010001,CREDITOS GERAIS A RECEBER
1211990001,(-) PROVISAO PARA PERDA CRED GERAL A
1212010001,DEPOSITOS JUDICIAIS INSS 1/3 FÉRIAS
1212010002,DEPOSITOS E CAUCOES EM GERAL
1212010003,DEPOSITOS JUDICIAIS TRABALHISTAS
1212010004,DEPOSITOS JUDICIAIS INSS FOPAG
1212010005,DEPOSITO JUDICIAL - PIS
1212010006,DEPOSITO JUDICIAL - COFINS
1212010007,DEPOSITO JUDICIAL - SALARIO EDUCACAO
1212010008,DEPOSITO JUDICIAL - INCRA
1212020001,INSS 1/3 FERIAS SUSPENSO DE LONGO PRA
1212020002,INSS 1/3 FERIAS EMPREGADOR SUSPENSO D
1212030001,P. JUDICIAIS TRABALHISTAS EM ANDAMENT
1213010001,CEF/FUNDO 6010-3A APEXPORT
1213020001,BB - FUNDO 3307-3 - ABRC
1213990001,(+/-)RECLASSIFICAÇÃO CP/LP
1221010001,OUTROS VALORES A RECEBER
1231010001,DIREITOS DE USO EM ARRENDAMENTOS
1231990001,( - ) D. A. - DIREITOS DE USO
1241010001,OBRAS EM ANDAMENTO
1241010002,EDIFICACOES
1241010003,MAQ/EQUIPAMENTOS DE ESCRITORIO
1241010004,INSTALACOES
1241010005,EQUIPAMENTOS DE INFORMATICA
1241010006,MOVEIS E UTENSILIOS
1241010007,VEICULOS AUTOMOTORES
1241010008,BIBLIOTECA
1241010009,BENFEITORIAS PROPRIEDADE TERC-NOVA SE
1241010010,OBRAS DE ARTE
1241010011,MOVEIS E INSTALACOES EA SP
1241010098,IMOBILIZADO A CLASSIFICAR
1241010099,IMOBILIZADO EAS (PROVISORIA)
1241019999,(-) PROVISAO AJUSTE IMPARIDADE IMOB.T
1241990002,(-)_D.A - EDIFICACOES
1241990003,(-)_D.A - MAQ/EQUIPAMENTOS DE ESCRITO
1241990004,(-)_D.A - INSTALACOES
1241990005,(-)_D.A - EQUIPAMENTOS DE INFORMATICA
1241990006,(-)_D.A - MOVEIS E UTENSILIOS
1241990007,(-)_D.A - VEICULOS AUTOMOTORES
1241990008,(-)_D.A - BIBLIOTECA
1241990009,(-)_D.A - BENFEITORIAS P.TERC-NOVA SE
