key;akd_rows;ct2_rows;akd_total;ct2_total;status
SE5243320;2;2;12.20;12.20;forte_grupo
SE5243321;2;2;141.20;141.20;forte_grupo
SE5243322;2;2;937.12;937.12;forte_grupo
SE5243352;2;2;12.20;12.20;forte_grupo
SE5243357;2;2;12.20;12.20;forte_grupo
SE5243363;2;2;50.00;50.00;forte_grupo
SE5244050;2;2;218.10;218.10;forte_grupo
SE5244051;2;2;168.80;168.80;forte_grupo
SE5244052;2;2;553.40;553.40;forte_grupo
SE5244053;2;2;10.60;10.60;forte_grupo
SE5244057;3;2;318781.80;212521.20;ambiguo
SE5244080;3;2;837504.36;558336.24;ambiguo
SE5244081;3;2;2922539.58;1948359.72;ambiguo
SE5244083;3;2;1713033.81;1142022.54;ambiguo
SE5244106;3;2;957229.65;638153.10;ambiguo
SE5244107;3;2;559244.94;372829.96;ambiguo
SE5244108;3;2;1473423.81;982282.54;ambiguo
SE5244658;4;2;150261994.72;148008064.80;ambiguo
SE5244660;4;2;604860.34;595787.44;ambiguo
SE5244888;2;2;727.80;727.80;forte_grupo
SE5244889;2;2;39.00;39.00;forte_grupo
SE5244890;2;2;730.10;730.10;forte_grupo
SE5244891;2;2;223.20;223.20;forte_grupo
SE5244892;2;2;79.10;79.10;forte_grupo
SE5244893;2;2;12.20;12.20;forte_grupo
SE5244894;2;2;12.20;12.20;forte_grupo
SE5244928;3;2;1315308.84;876872.56;ambiguo
SE5244939;2;2;411878.04;411878.04;forte_grupo
SE5244945;3;2;108000.18;72000.12;ambiguo
SE5244971;2;2;12.20;12.20;forte_grupo
SE5244972;2;2;12.20;12.20;forte_grupo
SE5244973;2;2;2037.90;2037.90;forte_grupo
SE5244974;2;2;80.40;80.40;forte_grupo
SE5244975;2;2;73.60;73.60;forte_grupo
SE5245272;3;2;205807.14;137204.76;ambiguo
SE5245376;2;2;13531.50;13531.50;forte_grupo
SE5245466;3;2;251077.74;167385.16;ambiguo
SE5245467;3;2;91796.49;61197.66;ambiguo
SE5245468;3;2;5614437.15;3742958.10;ambiguo
SE5245469;3;2;1626713.07;1084475.38;ambiguo
SE5245470;3;2;629815.41;419876.94;ambiguo
SE5245471;3;2;12101.19;8067.46;ambiguo
SE5245472;3;2;567464.82;378309.88;ambiguo
SE5245473;3;2;2482572.27;1655048.18;ambiguo
