side;column;rows;filled;distinct;duplicate_values;max_frequency;fill_rate;uniqueness_rate;example_values
AKD;AKD_XNUMAP;2125;1086;445;391;21;51.1059;40.9761;0000321394, 0000321298, 0000321303, 325842AP, 325725AP
AKD;AKD_XCLSDE;2125;0;0;0;0;0.0;0.0;
AKD;AKD_XHISTO;2125;1234;526;526;6;58.0706;42.6256;05012026RENDAPLICAUTOMATITAU, 02012026TARIFABANCARIA7364, 000023155ADIANTAMENTOPARAVIAGEMINTERNACIONALNR000023155COLABORADORANAPAULALINDGRENALVESREPEZZA, 000023612ADIANTAMENTOPARAVIAGEMNACIONALNR000023612COLABORADORCARLOSEDUARDOPADILLACOSTA, 05012026TARIFAREFUTILIZAODOSISTEMALICITAESEDOBANCODOBRASIL
AKD;AKD_USERGI;2125;2125;49;46;693;100.0;2.3059;0740104, 005040, 0050402, 0740105, 0050407
AKD;AKD_USERGA;2125;2116;52;49;658;99.5765;2.4575;0740104, 005040, 0050402, 0740105, 0050407
AKD;AKD_XDOC;2125;2125;776;656;7;100.0;36.5176;SE5241154, SE5241128, SE150674, SE5239771, SE5240365
AKD;DER_VALOR;2125;2125;602;477;90;100.0;28.3294;542, 610, 244401, 65800, 11281
AKD;DER_DATA;2125;2125;32;32;1111;100.0;1.5059;20260105, 20260102, 20260106, 20260107, 20260108
AKD;DER_MES;2125;2125;3;3;2044;100.0;0.1412;202601, 202602, 202603
AKD;DER_HIST_DOCS;2125;5235;1833;1594;21;246.3529;35.0143;0000321394, 017785049, 17785049, 321394, DOC017785049
AKD;DER_CHAVE_TOKENS;2125;9516;2203;1849;703;447.8118;23.1505;05012026, 202601050154180101, 5011001, 5011001VLRJF05012026, 5012026
