reason_signature;candidatos;selecionados;taxa_selecao
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_2|texto|tokens|valor;24;0;0.0
chave_estruturada|doc_extra|doc_hist_1|texto|tokens|valor;24;1;4.17
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;21;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;21;7;33.33
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;20;20;100.0
competencia|tokens|valor;20;0;0.0
cc|classe_valor|texto|tokens|valor;19;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|tokens|valor|xnumap_at04db|xnumap_xdocum;18;0;0.0
chave_estruturada|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor;18;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|tokens|valor|xdoc|xdoc_at01cr;16;6;37.5
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xdoc|xdoc_at01cr;16;8;50.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|valor|xdoc|xdoc_at01cr;16;8;50.0
cc|competencia|doc_hist_2|texto|tokens|valor;16;0;0.0
competencia|doc_hist_1|tokens|valor;16;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|valor;15;1;6.67
competencia|doc_hist_2|texto|tokens|valor;14;5;35.71
competencia|doc_hist_2|tokens|valor;13;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;12;4;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;12;3;25.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|tokens|valor|xdoc|xdoc_at01cr;12;6;50.0
doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;12;6;50.0
doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;12;6;50.0
chave_estruturada|competencia|doc_extra|valor|xdoc|xdoc_at01cr;12;2;16.67
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|valor;12;0;0.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|tokens|valor;11;11;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;10;3;30.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;10;4;40.0
chave_estruturada|competencia|doc_extra|texto|tokens|valor|xdoc|xdoc_at01cr;10;4;40.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|tokens|valor;9;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor;9;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor;9;1;11.11
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_1|tokens|valor;9;0;0.0
chave_estruturada|competencia|doc_extra|tokens|valor;9;0;0.0
chave_estruturada|doc_extra|valor;9;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor;8;0;0.0
cc|competencia|competencia_conta_cc|doc_hist_1|ent05_conta|tokens|valor;8;1;12.5
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;6;2;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;6;2;33.33
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;6;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xdoc|xdoc_at01cr;6;2;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|tokens|valor|xdoc|xdoc_at01cr;6;2;33.33
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;6;2;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;6;3;50.0
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;6;0;0.0
cc|chave_estruturada|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;6;0;0.0
doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;6;3;50.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|texto|tokens|valor|xdoc|xdoc_at01cr;6;3;50.0
cc|classe_valor|doc_extra|doc_hist_2|tokens|valor|xnumap_at04db|xnumap_xdocum;6;0;0.0
doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;6;3;50.0
cc|chave_estruturada|competencia|doc_extra|texto|tokens|valor|xdoc|xdoc_at01cr;6;2;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|texto|tokens|valor;6;3;50.0
chave_estruturada|competencia|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor;6;1;16.67
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|texto|tokens|valor;6;6;100.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|tokens|valor;6;0;0.0
chave_estruturada|competencia|doc_extra|valor;6;0;0.0
cc|classe_valor|conta_cc_classe|ent05_conta|tokens|valor;6;0;0.0
classe_valor|competencia|competencia_classe|texto|tokens|valor;6;0;0.0
classe_valor|competencia|competencia_classe|texto|valor;6;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|texto|tokens|valor;5;4;80.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|tokens|valor;5;2;40.0
chave_estruturada|doc_extra|texto|tokens|valor;5;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;4;4;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;2;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|tokens|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
competencia|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;4;2;50.0
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;0;0.0
cc|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;4;2;50.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|tokens|valor;4;4;100.0
competencia|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;4;2;50.0
competencia|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;4;2;50.0
